Ticket_ID,Ticket_Date,Customer_ID,Department,Agent_Name,Category,Sub_Category,Priority,Status,Resolution_Time_Hours,SLA_Target_Hours,SLA_Status,Customer_Satisfaction,Reopened,Channel,Root_Cause,Month,Year
TKT006184,2024-04-01,CUST01144,Operations,Simran Kaur,Network,Wi-Fi,Medium,Resolved,1.7,12,Met,4.6,No,Portal,Software Bug,Apr 2024,2024
TKT044043,2024-04-01,CUST04298,IT,Saurabh Yadav,Hardware,Peripheral,High,Resolved,26.72,8,Breached,2.9,No,Portal,Network Issue,Apr 2024,2024
TKT030847,2024-04-01,CUST01236,Marketing,Saurabh Yadav,Software,License Issue,Medium,Resolved,2.05,12,Met,4.0,No,Portal,Software Bug,Apr 2024,2024
TKT022268,2024-04-01,CUST03813,HR,Nikhil Patil,Software,Installation,High,Resolved,8.32,8,Breached,3.4,No,Email,Hardware Failure,Apr 2024,2024
TKT041302,2024-04-01,CUST01327,Marketing,Sneha Desai,Software,License Issue,Low,Resolved,3.73,8,Met,4.2,No,Portal,User Error,Apr 2024,2024
TKT044080,2024-04-01,CUST03359,IT,Saurabh Yadav,Access & Permissions,Permission Change,Medium,Resolved,1.83,12,Met,4.2,No,Phone,Network Issue,Apr 2024,2024
TKT012533,2024-04-01,CUST02081,Finance,Amit Singh,Software,Application Error,Medium,Open,2.89,12,Met,4.7,No,Email,Access Issue,Apr 2024,2024
TKT041401,2024-04-01,CUST02021,Finance,Aditya Jain,Hardware,Laptop/Desktop,Low,Resolved,1.85,8,Met,3.9,No,Portal,Configuration Error,Apr 2024,2024
TKT031017,2024-04-01,CUST03569,Others,Saurabh Yadav,Software,Installation,Low,Resolved,1.64,8,Met,4.4,No,Portal,Software Bug,Apr 2024,2024
TKT030971,2024-04-01,CUST02720,IT,Sneha Desai,Hardware,Laptop/Desktop,Medium,Open,0.89,12,Met,4.7,No,Phone,Configuration Error,Apr 2024,2024
TKT006356,2024-04-01,CUST02276,IT,Sneha Desai,Software,Installation,Medium,Pending,4.93,12,Met,4.0,No,Portal,Network Issue,Apr 2024,2024
TKT035984,2024-04-01,CUST01950,IT,Amit Singh,Software,Update/Upgrade,Low,Resolved,0.49,8,Met,4.6,No,Email,Hardware Failure,Apr 2024,2024
TKT008083,2024-04-01,CUST03697,Finance,Rohan Kapoor,Hardware,Peripheral,Low,Resolved,3.4,8,Met,4.8,No,Portal,User Error,Apr 2024,2024
TKT000447,2024-04-01,CUST00067,Others,Nikhil Patil,Software,License Issue,Medium,Pending,3.48,12,Met,5.0,No,Email,User Error,Apr 2024,2024
TKT010588,2024-04-01,CUST02247,Sales,Pooja Nair,Access & Permissions,Role Access,Low,Resolved,2.21,8,Met,4.4,No,Portal,User Error,Apr 2024,2024
TKT016610,2024-04-01,CUST00490,Marketing,Pooja Nair,Network,Slow Network,Low,Resolved,1.75,8,Met,3.5,No,Email,Access Issue,Apr 2024,2024
TKT007654,2024-04-01,CUST04920,Marketing,Priya Patel,Software,Application Error,Medium,Resolved,4.18,12,Met,4.8,No,Email,Access Issue,Apr 2024,2024
TKT020777,2024-04-01,CUST01333,Operations,Aditya Jain,Access & Permissions,Password Reset,Low,Resolved,3.75,8,Met,4.7,No,Portal,User Error,Apr 2024,2024
TKT017600,2024-04-01,CUST00778,HR,Anjali Verma,Hardware,Printer,Low,Resolved,2.22,8,Met,3.2,No,Portal,Network Issue,Apr 2024,2024
TKT008504,2024-04-01,CUST01930,HR,Pooja Nair,Network,VPN,Medium,Resolved,2.77,12,Met,3.9,No,Email,Access Issue,Apr 2024,2024
TKT006605,2024-04-01,CUST04413,IT,Aarav Sharma,Network,VPN,Medium,Resolved,8.79,12,Met,3.9,No,Email,User Error,Apr 2024,2024
TKT026850,2024-04-01,CUST01022,Others,Priya Patel,Hardware,Peripheral,Medium,Resolved,2.8,12,Met,4.2,No,Portal,Network Issue,Apr 2024,2024
TKT026852,2024-04-01,CUST04311,HR,Priya Patel,Application Support,Email Support,Low,Resolved,1.05,8,Met,4.6,No,Phone,Access Issue,Apr 2024,2024
TKT028042,2024-04-01,CUST02964,Others,Simran Kaur,Hardware,Monitor,Low,Pending,3.5,8,Met,4.2,No,Phone,Access Issue,Apr 2024,2024
TKT006024,2024-04-01,CUST02804,IT,Nikhil Patil,Hardware,Laptop/Desktop,Critical,In Progress,47.46,4,Breached,2.5,No,Phone,Configuration Error,Apr 2024,2024
TKT006553,2024-04-01,CUST02736,Sales,Rohan Kapoor,Software,Installation,Low,Resolved,2.03,8,Met,4.1,Yes,Email,Configuration Error,Apr 2024,2024
TKT031647,2024-04-01,CUST02419,Others,Meera Iyer,Network,Wi-Fi,Critical,Resolved,14.04,4,Breached,3.1,No,Portal,Unknown,Apr 2024,2024
TKT039405,2024-04-01,CUST00472,Operations,Amit Singh,Application Support,ERP Support,Low,Resolved,1.75,8,Met,3.6,No,Portal,User Error,Apr 2024,2024
TKT030565,2024-04-01,CUST03624,Sales,Saurabh Yadav,Software,License Issue,Low,In Progress,1.26,8,Breached,3.3,No,Portal,User Error,Apr 2024,2024
TKT004192,2024-04-01,CUST04931,HR,Karan Mehta,Software,Application Error,Low,Resolved,0.96,8,Met,4.8,No,Phone,User Error,Apr 2024,2024
TKT010791,2024-04-01,CUST01026,Operations,Vikram Rao,Application Support,CRM Support,Medium,Resolved,12.03,12,Breached,3.6,No,Portal,Network Issue,Apr 2024,2024
TKT022319,2024-04-01,CUST02522,IT,Kavya Reddy,Software,License Issue,Medium,Resolved,6.31,12,Met,4.0,No,Email,User Error,Apr 2024,2024
TKT006031,2024-04-01,CUST04318,IT,Sneha Desai,Network,Wi-Fi,Medium,Resolved,2.29,12,Met,4.7,No,Portal,User Error,Apr 2024,2024
TKT021407,2024-04-01,CUST04040,Operations,Simran Kaur,Application Support,CRM Support,Low,Resolved,1.23,8,Met,4.6,No,Email,Hardware Failure,Apr 2024,2024
TKT001029,2024-04-01,CUST01566,IT,Rohan Kapoor,Network,Connectivity,High,Resolved,17.56,8,Breached,3.5,No,Email,Software Bug,Apr 2024,2024
TKT048920,2024-04-01,CUST01713,IT,Simran Kaur,Hardware,Laptop/Desktop,Low,Resolved,2.91,8,Met,4.4,No,Email,Network Issue,Apr 2024,2024
TKT024347,2024-04-01,CUST03566,Finance,Isha Malhotra,Hardware,Laptop/Desktop,Medium,Resolved,8.05,12,Met,4.0,No,Chat,Network Issue,Apr 2024,2024
TKT038314,2024-04-01,CUST03369,Marketing,Riya Kulkarni,Application Support,CRM Support,Low,Resolved,1.4,8,Met,4.5,No,Email,Software Bug,Apr 2024,2024
TKT034785,2024-04-01,CUST02669,Sales,Isha Malhotra,Software,Installation,Low,Pending,2.79,8,Met,4.6,No,Email,Hardware Failure,Apr 2024,2024
TKT029231,2024-04-01,CUST01099,IT,Simran Kaur,Hardware,Peripheral,Medium,Resolved,5.05,12,Met,3.9,No,Email,Configuration Error,Apr 2024,2024
TKT006853,2024-04-01,CUST03185,HR,Vikram Rao,Hardware,Peripheral,Medium,In Progress,5.3,12,Met,3.7,No,Chat,Network Issue,Apr 2024,2024
TKT033994,2024-04-01,CUST00854,Operations,Kavya Reddy,Access & Permissions,Password Reset,Low,Resolved,2.73,8,Met,4.3,No,Email,Access Issue,Apr 2024,2024
TKT014650,2024-04-01,CUST00274,HR,Rohan Kapoor,Network,VPN,High,Resolved,5.62,8,Met,3.8,No,Portal,User Error,Apr 2024,2024
TKT034802,2024-04-01,CUST03638,Operations,Sneha Desai,Application Support,ERP Support,Medium,Open,7.11,12,Met,4.7,No,Portal,Hardware Failure,Apr 2024,2024
TKT040617,2024-04-01,CUST02926,IT,Meera Iyer,Application Support,CRM Support,High,Resolved,11.63,8,Breached,3.2,No,Portal,Access Issue,Apr 2024,2024
TKT036858,2024-04-01,CUST03759,IT,Neha Gupta,Network,Connectivity,Critical,Open,10.8,4,Breached,2.8,No,Phone,User Error,Apr 2024,2024
TKT029101,2024-04-01,CUST03168,IT,Vikram Rao,Software,Application Error,Medium,Pending,5.0,12,Met,4.1,No,Portal,Software Bug,Apr 2024,2024
TKT019920,2024-04-01,CUST01511,Marketing,Nikhil Patil,Software,Installation,Low,Resolved,2.01,8,Breached,2.8,No,Phone,Software Bug,Apr 2024,2024
TKT000756,2024-04-01,CUST02694,Sales,Vikram Rao,Hardware,Laptop/Desktop,Medium,In Progress,5.94,12,Met,4.1,No,Portal,Hardware Failure,Apr 2024,2024
TKT024732,2024-04-01,CUST00488,IT,Vikram Rao,Access & Permissions,Permission Change,High,In Progress,12.87,8,Breached,4.0,Yes,Portal,Configuration Error,Apr 2024,2024
TKT015973,2024-04-01,CUST04272,IT,Simran Kaur,Software,Installation,Low,Resolved,2.78,8,Met,4.0,Yes,Email,User Error,Apr 2024,2024
TKT000678,2024-04-01,CUST02198,HR,Karan Mehta,Hardware,Monitor,High,Resolved,10.19,8,Breached,3.7,No,Chat,Software Bug,Apr 2024,2024
TKT023670,2024-04-01,CUST04698,IT,Anjali Verma,Application Support,Database Support,Medium,In Progress,2.99,12,Met,3.6,No,Portal,Unknown,Apr 2024,2024
TKT036914,2024-04-01,CUST03728,Operations,Vikram Rao,Hardware,Peripheral,Low,Resolved,2.35,8,Met,4.2,No,Email,Hardware Failure,Apr 2024,2024
TKT016246,2024-04-01,CUST01038,IT,Sneha Desai,Application Support,ERP Support,Low,Resolved,2.04,8,Met,4.4,No,Portal,Hardware Failure,Apr 2024,2024
TKT017144,2024-04-01,CUST01979,Others,Aarav Sharma,Software,Application Error,High,Resolved,8.83,8,Breached,2.6,No,Portal,Configuration Error,Apr 2024,2024
TKT034542,2024-04-01,CUST02864,Marketing,Rahul Joshi,Application Support,CRM Support,Low,Resolved,1.41,8,Met,4.4,No,Phone,Access Issue,Apr 2024,2024
TKT009685,2024-04-01,CUST01786,Others,Arjun Shah,Hardware,Printer,Medium,Resolved,7.28,12,Met,4.5,No,Portal,Configuration Error,Apr 2024,2024
TKT034587,2024-04-01,CUST03055,Finance,Saurabh Yadav,Application Support,Database Support,Low,Resolved,1.16,8,Met,4.7,Yes,Email,Software Bug,Apr 2024,2024
TKT011153,2024-04-01,CUST00920,Others,Isha Malhotra,Application Support,Database Support,Low,Resolved,2.05,8,Met,4.4,No,Portal,Network Issue,Apr 2024,2024
TKT012311,2024-04-01,CUST03288,HR,Saurabh Yadav,Hardware,Monitor,Critical,In Progress,15.52,4,Breached,3.5,No,Email,Configuration Error,Apr 2024,2024
TKT048272,2024-04-01,CUST02210,Marketing,Riya Kulkarni,Application Support,Database Support,Medium,Open,2.82,12,Met,4.8,Yes,Chat,Unknown,Apr 2024,2024
TKT000649,2024-04-01,CUST02324,IT,Karan Mehta,Application Support,Email Support,High,In Progress,34.46,8,Breached,2.7,No,Phone,User Error,Apr 2024,2024
TKT017151,2024-04-01,CUST01099,Others,Rahul Joshi,Software,Installation,Low,Resolved,1.15,8,Met,5.0,No,Email,Access Issue,Apr 2024,2024
TKT003072,2024-04-01,CUST02539,Operations,Vikram Rao,Software,Application Error,Medium,Resolved,4.54,12,Met,4.1,No,Portal,Software Bug,Apr 2024,2024
TKT013276,2024-04-01,CUST04822,IT,Neha Gupta,Application Support,ERP Support,Low,Resolved,0.9,8,Met,4.4,No,Portal,Hardware Failure,Apr 2024,2024
TKT034191,2024-04-01,CUST03871,Marketing,Aarav Sharma,Network,Connectivity,High,In Progress,10.96,8,Breached,2.8,No,Portal,User Error,Apr 2024,2024
TKT003581,2024-04-01,CUST00457,IT,Amit Singh,Access & Permissions,Role Access,Medium,Resolved,4.01,12,Met,5.0,No,Portal,Software Bug,Apr 2024,2024
TKT009634,2024-04-01,CUST02809,Sales,Aarav Sharma,Hardware,Peripheral,Low,Resolved,4.17,8,Met,5.0,No,Chat,Network Issue,Apr 2024,2024
TKT011670,2024-04-01,CUST03021,HR,Simran Kaur,Hardware,Laptop/Desktop,High,Resolved,8.63,8,Breached,3.4,No,Portal,Unknown,Apr 2024,2024
TKT023454,2024-04-01,CUST04592,Others,Neha Gupta,Application Support,Email Support,High,Resolved,7.59,8,Met,4.0,No,Email,Unknown,Apr 2024,2024
TKT031008,2024-04-01,CUST01506,IT,Nikhil Patil,Access & Permissions,Role Access,Low,Resolved,3.4,8,Met,4.5,No,Portal,Software Bug,Apr 2024,2024
TKT016050,2024-04-01,CUST04603,IT,Nikhil Patil,Network,VPN,Low,Resolved,2.47,8,Met,3.8,No,Email,User Error,Apr 2024,2024
TKT019826,2024-04-01,CUST04314,IT,Isha Malhotra,Hardware,Peripheral,Low,Resolved,1.27,8,Met,4.1,No,Portal,Software Bug,Apr 2024,2024
TKT025285,2024-04-01,CUST01564,Finance,Pooja Nair,Network,Connectivity,Critical,Open,9.64,4,Breached,4.0,No,Portal,User Error,Apr 2024,2024
TKT045917,2024-04-01,CUST01358,Marketing,Isha Malhotra,Software,Application Error,High,Resolved,5.62,8,Met,4.4,No,Portal,User Error,Apr 2024,2024
TKT000849,2024-04-01,CUST03543,IT,Rahul Joshi,Network,Slow Network,Low,Resolved,2.77,8,Met,4.6,No,Chat,User Error,Apr 2024,2024
TKT045875,2024-04-01,CUST00801,HR,Rahul Joshi,Hardware,Printer,Medium,Resolved,5.39,12,Met,4.1,No,Portal,Unknown,Apr 2024,2024
TKT042683,2024-04-01,CUST02099,Marketing,Pooja Nair,Software,Installation,Low,Resolved,1.67,8,Met,3.2,No,Portal,Network Issue,Apr 2024,2024
TKT025100,2024-04-01,CUST04210,Others,Nikhil Patil,Application Support,ERP Support,Low,Resolved,2.34,8,Met,3.9,No,Email,Network Issue,Apr 2024,2024
TKT011450,2024-04-01,CUST00118,Others,Rohan Kapoor,Network,Connectivity,Medium,Resolved,5.59,12,Met,3.9,No,Chat,Hardware Failure,Apr 2024,2024
TKT048578,2024-04-01,CUST01547,IT,Neha Gupta,Network,Connectivity,Low,Resolved,6.77,8,Met,4.7,No,Portal,Software Bug,Apr 2024,2024
TKT029839,2024-04-01,CUST01793,Sales,Nikhil Patil,Network,Connectivity,Low,Resolved,2.04,8,Met,4.3,No,Email,Hardware Failure,Apr 2024,2024
TKT028957,2024-04-01,CUST03331,Operations,Simran Kaur,Application Support,Database Support,High,Resolved,41.9,8,Breached,2.9,No,Email,Network Issue,Apr 2024,2024
TKT042589,2024-04-01,CUST04786,Operations,Nikhil Patil,Hardware,Monitor,Low,Resolved,1.74,8,Met,3.7,No,Email,Network Issue,Apr 2024,2024
TKT007394,2024-04-01,CUST01951,Finance,Anjali Verma,Hardware,Peripheral,High,In Progress,13.83,8,Breached,3.5,No,Portal,Network Issue,Apr 2024,2024
TKT021275,2024-04-01,CUST03976,IT,Sneha Desai,Network,Connectivity,Medium,Resolved,9.59,12,Met,4.0,No,Email,Configuration Error,Apr 2024,2024
TKT005185,2024-04-01,CUST01360,Sales,Kavya Reddy,Application Support,Database Support,Low,Open,4.85,8,Met,4.2,No,Portal,Network Issue,Apr 2024,2024
TKT001988,2024-04-01,CUST02537,IT,Arjun Shah,Hardware,Printer,Low,Open,1.44,8,Met,4.8,No,Portal,Software Bug,Apr 2024,2024
TKT020671,2024-04-02,CUST01242,Marketing,Amit Singh,Software,Installation,High,Resolved,19.4,8,Breached,3.4,No,Portal,Network Issue,Apr 2024,2024
TKT005357,2024-04-02,CUST01724,Operations,Kavya Reddy,Access & Permissions,Permission Change,Low,Open,4.91,8,Met,4.7,No,Email,Network Issue,Apr 2024,2024
TKT022271,2024-04-02,CUST02584,Finance,Vikram Rao,Hardware,Printer,Low,Open,5.41,8,Met,4.4,No,Portal,Configuration Error,Apr 2024,2024
TKT037745,2024-04-02,CUST04241,Others,Anjali Verma,Software,Application Error,Medium,In Progress,3.25,12,Breached,3.6,No,Email,Access Issue,Apr 2024,2024
TKT000264,2024-04-02,CUST01126,Sales,Neha Gupta,Application Support,CRM Support,Medium,Resolved,8.06,12,Met,3.7,No,Portal,Network Issue,Apr 2024,2024
TKT016114,2024-04-02,CUST00855,IT,Nikhil Patil,Application Support,Database Support,Low,Resolved,2.26,8,Met,4.3,No,Email,Access Issue,Apr 2024,2024
TKT038022,2024-04-02,CUST01856,IT,Vikram Rao,Software,Application Error,Medium,Resolved,3.22,12,Met,3.9,No,Portal,Configuration Error,Apr 2024,2024
TKT045721,2024-04-02,CUST00157,Marketing,Arjun Shah,Application Support,CRM Support,Medium,Resolved,4.17,12,Met,4.2,No,Portal,Software Bug,Apr 2024,2024
TKT043032,2024-04-02,CUST01387,Sales,Karan Mehta,Application Support,ERP Support,High,Resolved,12.8,8,Breached,3.8,No,Chat,Network Issue,Apr 2024,2024
TKT001290,2024-04-02,CUST01887,Operations,Meera Iyer,Network,Connectivity,Low,In Progress,1.47,8,Met,5.0,No,Portal,Software Bug,Apr 2024,2024
TKT048808,2024-04-02,CUST01933,Finance,Riya Kulkarni,Application Support,Email Support,Low,Resolved,1.29,8,Met,3.9,No,Portal,Configuration Error,Apr 2024,2024
TKT043477,2024-04-02,CUST00271,Sales,Aarav Sharma,Hardware,Printer,Low,Resolved,2.56,8,Met,4.1,No,Portal,Network Issue,Apr 2024,2024
TKT025626,2024-04-02,CUST00836,HR,Riya Kulkarni,Hardware,Laptop/Desktop,Low,Resolved,3.04,8,Met,3.7,No,Portal,Configuration Error,Apr 2024,2024
TKT004759,2024-04-02,CUST03379,Others,Rohan Kapoor,Network,VPN,Medium,Resolved,12.48,12,Breached,3.5,No,Phone,Unknown,Apr 2024,2024
TKT039518,2024-04-02,CUST04710,Marketing,Simran Kaur,Hardware,Monitor,Low,Resolved,1.42,8,Met,5.0,No,Portal,Network Issue,Apr 2024,2024
TKT044023,2024-04-02,CUST00093,IT,Anjali Verma,Access & Permissions,Role Access,Medium,Resolved,4.49,12,Met,4.3,No,Portal,User Error,Apr 2024,2024
TKT008140,2024-04-02,CUST00346,Marketing,Meera Iyer,Hardware,Peripheral,Low,Resolved,4.39,8,Met,4.8,No,Email,Software Bug,Apr 2024,2024
TKT008075,2024-04-02,CUST01868,Others,Neha Gupta,Hardware,Laptop/Desktop,High,Resolved,13.8,8,Breached,2.2,No,Portal,Software Bug,Apr 2024,2024
TKT023185,2024-04-02,CUST01427,IT,Rohan Kapoor,Access & Permissions,Password Reset,High,Resolved,5.43,8,Met,4.4,No,Chat,Hardware Failure,Apr 2024,2024
TKT039679,2024-04-02,CUST01294,Others,Aditya Jain,Application Support,CRM Support,High,Resolved,9.22,8,Breached,3.5,No,Chat,Access Issue,Apr 2024,2024
TKT025411,2024-04-02,CUST03733,IT,Aditya Jain,Software,License Issue,Low,Resolved,4.94,8,Met,3.8,No,Phone,Software Bug,Apr 2024,2024
TKT023187,2024-04-02,CUST03797,Finance,Vikram Rao,Application Support,CRM Support,Low,Resolved,1.65,8,Met,4.3,No,Portal,Access Issue,Apr 2024,2024
TKT008020,2024-04-02,CUST00258,IT,Anjali Verma,Network,Wi-Fi,Low,Resolved,1.61,8,Met,3.7,No,Email,Software Bug,Apr 2024,2024
TKT027571,2024-04-02,CUST03644,IT,Isha Malhotra,Application Support,CRM Support,Medium,Resolved,2.32,12,Met,3.8,No,Phone,User Error,Apr 2024,2024
TKT048433,2024-04-02,CUST03936,IT,Simran Kaur,Application Support,CRM Support,High,Resolved,8.63,8,Breached,3.3,No,Portal,User Error,Apr 2024,2024
TKT041552,2024-04-02,CUST01530,Operations,Aarav Sharma,Access & Permissions,Role Access,Low,Resolved,2.16,8,Met,4.2,No,Email,Software Bug,Apr 2024,2024
TKT048572,2024-04-02,CUST03532,HR,Arjun Shah,Application Support,Database Support,Low,Resolved,2.76,8,Met,4.8,No,Portal,Software Bug,Apr 2024,2024
TKT038157,2024-04-02,CUST00122,Operations,Simran Kaur,Network,VPN,High,Resolved,24.71,8,Breached,2.8,No,Phone,Network Issue,Apr 2024,2024
TKT043160,2024-04-02,CUST01123,IT,Meera Iyer,Software,Update/Upgrade,Low,Resolved,1.0,8,Met,4.4,No,Email,Configuration Error,Apr 2024,2024
TKT038779,2024-04-02,CUST02721,IT,Karan Mehta,Hardware,Laptop/Desktop,Low,Resolved,1.24,8,Met,3.8,No,Email,Configuration Error,Apr 2024,2024
